timestamp,phase,flighttime,lat,lon,alt,pressure,temperature,voltage
2024-08-20T10:05:34+09:00,1,293,0.00,40.2423,140.0103,3.00,1014.78,33.60,5.6
2024-08-20T10:05:35+09:00,1,294,0.00,40.2423,140.0103,3.00,1014.78,33.60,5.6
2024-08-20T10:05:36+09:00,1,295,0.00,40.2423,140.0103,3.00,1014.79,33.60,5.6
2024-08-20T10:05:37+09:00,1,296,0.00,40.2423,140.0103,3.00,1014.79,33.60,5.6
2024-08-20T10:05:38+09:00,1,297,0.00,40.2423,140.0103,3.00,1014.81,33.60,5.6
2024-08-20T10:05:39+09:00,1,298,0.00,40.2423,140.0103,3.00,1014.81,33.60,5.6
2024-08-20T10:05:40+09:00,1,299,0.00,40.2423,140.0103,3.00,1014.81,33.60,5.6
2024-08-20T10:05:41+09:00,1,300,0.00,40.2423,140.0103,3.00,1014.81,33.60,5.6
2024-08-20T10:05:42+09:00,1,301,0.00,40.2423,140.0103,3.00,1014.83,33.60,5.6
2024-08-20T10:05:43+09:00,1,302,0.00,40.2423,140.0103,3.00,1014.76,33.60,5.6
2024-08-20T10:05:44+09:00,1,303,0.00,40.2423,140.0103,3.00,1014.80,33.60,5.6
2024-08-20T10:05:45+09:00,1,304,0.00,40.2423,140.0103,3.00,1014.83,33.60,5.6
2024-08-20T10:05:46+09:00,1,305,0.00,40.2423,140.0103,3.00,1014.80,33.60,5.6
2024-08-20T10:05:47+09:00,1,306,0.00,40.2423,140.0103,3.00,1014.82,33.60,5.6
2024-08-20T10:05:48+09:00,1,307,0.00,40.2423,140.0103,3.00,1014.78,33.60,5.6
2024-08-20T10:05:49+09:00,1,308,0.00,40.2423,140.0103,3.00,1014.83,33.60,5.6
2024-08-20T10:05:50+09:00,1,309,0.00,40.2423,140.0103,3.00,1014.81,33.60,5.6
2024-08-20T10:05:51+09:00,1,310,0.00,40.2423,140.0103,2.89,1014.78,33.60,5.6
2024-08-20T10:05:52+09:00,1,311,0.00,40.2423,140.0103,2.89,1014.80,33.60,5.6
2024-08-20T10:05:53+09:00,1,312,0.00,40.2423,140.0103,2.89,1014.80,33.60,5.6
2024-08-20T10:05:54+09:00,1,313,0.00,40.2423,140.0103,2.89,1014.80,33.60,5.6
2024-08-20T10:05:55+09:00,1,314,0.00,40.2423,140.0103,2.89,1014.79,33.60,5.6
2024-08-20T10:05:56+09:00,1,315,0.00,40.2423,140.0103,2.89,1014.79,33.60,5.6
2024-08-20T10:05:57+09:00,1,316,0.00,40.2423,140.0103,2.89,1014.79,33.60,5.6
